constructing 9 ConvTransformerEncoderLayers
gen: 0, avg: -41.34741379261017, std: 3.4113921228847404
gen: 1, avg: -38.4748069190979, std: 2.4874979425159043
gen: 2, avg: -36.45287722301483, std: 1.7603237894964605
gen: 3, avg: -34.984772327423094, std: 1.3578013932850155
gen: 4, avg: -33.79063713741302, std: 1.1218085823765354
gen: 5, avg: -32.834507530212406, std: 0.9420478858192726
gen: 6, avg: -31.981714050292968, std: 0.8747303149630161
gen: 7, avg: -31.23467377948761, std: 0.8402104270739937
gen: 8, avg: -30.52722546863556, std: 0.8507348606770765
gen: 9, avg: -29.797436177253722, std: 0.8510706039278275
gen: 10, avg: -29.089819032669066, std: 0.761632847225
gen: 11, avg: -28.438334547042846, std: 0.7004452469843192
gen: 12, avg: -27.85321911048889, std: 0.6328415503977779
gen: 13, avg: -27.318802658081054, std: 0.5713401835551707
gen: 14, avg: -26.831451491355896, std: 0.48130601907104603
gen: 15, avg: -26.46113806819916, std: 0.42695572631098505
gen: 16, avg: -26.118832132339477, std: 0.45428843275577535
gen: 17, avg: -25.74213946247101, std: 0.48321513020853585
gen: 18, avg: -25.370884318351745, std: 0.4874221127474216
gen: 19, avg: -25.007566246032717, std: 0.5107631913243726
gen: 20, avg: -24.62783940887451, std: 0.5218776492639998
gen: 21, avg: -24.2180751619339, std: 0.5366625589572293
gen: 22, avg: -23.797086622238158, std: 0.5586429365221754
gen: 23, avg: -23.38197937679291, std: 0.5593225436260144
gen: 24, avg: -22.94890359210968, std: 0.5200728992159266
gen: 25, avg: -22.545537337303163, std: 0.4632556816009345
gen: 26, avg: -22.17473030948639, std: 0.40876272830036275
gen: 27, avg: -21.849664162635804, std: 0.33436913177384303
gen: 28, avg: -21.58645071220398, std: 0.32772703236745027
gen: 29, avg: -21.33240826702118, std: 0.33087637339616877
gen: 30, avg: -21.073155648231506, std: 0.26946834277139564
gen: 31, avg: -20.878442153930663, std: 0.24520163037199452
