gen: 0, min: -2.3023855686187744, max: 1.2147846221923828, avg: -0.49549342492222787
gen: 1, min: -0.4647549092769623, max: 1.2147846221923828, avg: -0.09712664157152176
gen: 2, min: -0.15774676203727722, max: 1.2147846221923828, avg: 0.09078254023194313
gen: 3, min: 0.018809497356414795, max: 1.2147846221923828, avg: 0.21351987919211388
gen: 4, min: 0.1440526247024536, max: 1.2147846221923828, avg: 0.3154466660618782
gen: 5, min: 0.2428658902645111, max: 1.36811101436615, avg: 0.40480344504117965
gen: 6, min: 0.3264741003513336, max: 1.4065767526626587, avg: 0.4802209738492966
gen: 7, min: 0.4000098407268524, max: 1.4065767526626587, avg: 0.5465172501206398
gen: 8, min: 0.46407458186149597, max: 1.4065767526626587, avg: 0.6118665429651737
gen: 9, min: 0.5247402191162109, max: 1.624902367591858, avg: 0.682379135966301
gen: 10, min: 0.5876848697662354, max: 1.624902367591858, avg: 0.753840777873993
gen: 11, min: 0.6494711637496948, max: 1.624902367591858, avg: 0.8226962767839432
gen: 12, min: 0.7127838134765625, max: 1.624902367591858, avg: 0.8946091245412826
gen: 13, min: 0.7906341552734375, max: 1.7347323894500732, avg: 0.9754839395284652
gen: 14, min: 0.866230845451355, max: 1.7347323894500732, avg: 1.05105160343647
gen: 15, min: 0.9492201805114746, max: 1.742539405822754, avg: 1.1271404063701629
gen: 16, min: 1.0244743824005127, max: 1.742539405822754, avg: 1.1901926492452621
gen: 17, min: 1.0878320932388306, max: 1.9672815799713135, avg: 1.256176886677742
gen: 18, min: 1.1477991342544556, max: 1.9672815799713135, avg: 1.3150727282762527
gen: 19, min: 1.213315725326538, max: 1.9672815799713135, avg: 1.3714785438776016
gen: 20, min: 1.2736523151397705, max: 2.191490411758423, avg: 1.4279721421003342
gen: 21, min: 1.3362576961517334, max: 2.191490411758423, avg: 1.482357885479927
gen: 22, min: 1.3945589065551758, max: 2.2010576725006104, avg: 1.5348744333982467
gen: 23, min: 1.452717661857605, max: 2.2010576725006104, avg: 1.584491565823555
gen: 24, min: 1.5104354619979858, max: 2.2010576725006104, avg: 1.6373498796224595
gen: 25, min: 1.5576623678207397, max: 2.2010576725006104, avg: 1.6799837722778321
gen: 26, min: 1.6103854179382324, max: 2.2695746421813965, avg: 1.7229403071403504
gen: 27, min: 1.6479415893554688, max: 2.2695746421813965, avg: 1.7603131886720658
